stock_symbol
ETR
KEY
BIO
MCK
UDR
K
LIN
BEN
EXPD
GM
ZTS
AMZN
GD
LH
NLOK
HUM
DRE
NCLH
WU
O
WRB
VRSN
JKHY
DE
COF
DISH
LRCX
APH
UA
VTRS
TDG
DUK
TT
PRU
VLO
REG
XLNX
MSI
MCD
DVA
JBHT
PVH
CVX
FITB
AVB
LB
EMR
POOL
CTXS
KEYS
KO
DVN
SLB
ALXN
MU
MCO
BLL
WDC
BDX
EXR
AIZ
WST
HBAN
MA
LOW
AKAM
EQIX
HOLX
CHRW
ORLY
SIVB
ARE
RTX
HPQ
LVS
CTAS
BXP
DGX
PXD
IQV
ADM
HES
ISRG
NOC
MRK
TWTR
EQR
AEE
HAS
CFG
AES
CMG
SBUX
MSFT
WEC
LEN
WAB
MXIM
VNO
TEL
FOXA
PPL
VAR
LUV
WBA
ADI
ALB
NTRS
FTV
ILMN
BBY
APTV
APD
UAL
SRE
ROL
LW
BKNG
YUM
UPS
V
FRT
MTB
SPGI
EOG
FE
TDY
TMUS
FISV
BSX
ACN
HBI
MGM
CPB
MCHP
PAYC
TGT
T
NDAQ
MOS
AME
CINF
EXC
SBAC
ANET
CHD
QRVO
BKR
RE
TFX
TER
FLT
JNJ
AJG
NWSA
SCHW
C
MAR
NWS
MLM
RCL
INFO
BIIB
GRMN
PWR
BAX
NFLX
CTSH
EXPE
ADBE
ABBV
UNH
IEX
TJX
COO
CMS
ODFL
ANSS
SYK
BAC
BMY
MO
NOW
ZION
COG
XRAY
ZBH
KIM
DD
NRG
EFX
WAT
FLS
SWK
CMCSA
REGN
WELL
IT
PH
LNT
ABC
HAL
PYPL
DFS
ITW
HWM
PSX
CBOE
NSC
APA
SPG
AOS
NEM
KLAC
LEG
DAL
AIG
FRC
XOM
RHI
ETN
EVRG
EIX
CDW
FBHS
VTR
WYNN
FMC
GOOGL
DLR
AMT
GPN
UNP
ALLE
PSA
DTE
AMP
AAP
GWW
NWL
SNA
SEE
UAA
FTI
D
PCAR
GL
CMI
WMT
WM
VFC
VRTX
AZO
MMC
GILD
NOV
F
HON
FCX
L
LDOS
DHR
AEP
TRV
MET
DISCK
BLK
NEE
AWK
XRX
AFL
TAP
DLTR
CB
WMB
TSCO
BA
OXY
PLD
PM
IRM
WFC
HLT
RJF
DRI
HSY
AMD
LLY
CE
INTC
HRL
ABMD
URI
MAA
PFG
PEG
STX
MDT
TXT
FOX
AMCR
DG
PKI
WLTW
FIS
MTD
TIF
TXN
TTWO
DOW
KMB
AAL
ROK
ALL
INTU
CCI
MKC
SLG
ADP
SYF
CLX
FTNT
WRK
CNP
TFC
WY
MNST
STE
WHR
AMGN
NVDA
NTAP
JCI
TYL
MSCI
COST
STZ
BR
VMC
FLIR
CSCO
DXCM
HII
FDX
KSU
IVZ
KMX
DXC
MMM
DOV
CERN
TPR
IPG
ADSK
DISCA
CME
ES
ALK
PNR
ED
SWKS
GLW
KR
IPGP
OKE
UHS
ALGN
JNPR
NLSN
TMO
HPE
DPZ
PEAK
EMN
TROW
UNM
PAYX
ORCL
CBRE
SJM
EL
NKE
RMD
SYY
BWA
TSN
PKG
ATVI
KHC
USB
GE
VZ
DHI
FFIV
QCOM
CCL
HIG
CXO
STT
MS
EBAY
GPC
CMA
AXP
MRO
CPRT
MHK
IR
NVR
CTVA
PHM
PG
EW
ROP
ULTA
LMT
MAS
MDLZ
HFC
FANG
INCY
CAG
PNW
PRGO
NUE
RL
CDNS
AMAT
AON
ICE
JPM
AAPL
SHW
HST
MPC
MKTX
GPS
SO
ZBRA
CTLT
XEL
FB
ECL
SNPS
XYL
IDXX
COP
CHTR
PEP
NI
DIS
ETSY
CVS
IP
ABT
BK
AVY
RSG
ESS
VRSK
LKQ
PBCT
GIS
LYV
GOOG
CNC
GS
OMC
AIV
RF
CSX
PPG
HSIC
IFF
CL
CAT
FAST
LHX
A
KMI
ATO
PGR
ROST
CAH
PNC
CRM
ANTM
HD
CF
EA
HCA
J
LNC
CI
IBM
LYB
PFE
AVGO
