Symbol;Name;LastSale;MarketCap;ADR TSO;IPOyear;Sector;Industry;Summary Quote
OMNT;Ominto, Inc.;9.9;173576898.0;;;Miscellaneous;Business Services;http://www.nasdaq.com/symbol/omnt
RGNX;REGENXBIO Inc.;20.15;534243700.24999994;;2015;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);http://www.nasdaq.com/symbol/rgnx
TROVU;TrovaGene, Inc.;3.02;0.0;;;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);http://www.nasdaq.com/symbol/trovu
HTLF;Heartland Financial USA, Inc.;47.5;1243744370.0;;;Finance;Major Banks;http://www.nasdaq.com/symbol/htlf
KBAL;Kimball International, Inc.;16.42;611410522.4;;;Consumer Durables;Home Furnishings;http://www.nasdaq.com/symbol/kbal
NSEC;National Security Group, Inc.;16.01;40302597.39;;;Finance;Life Insurance;http://www.nasdaq.com/symbol/nsec
EDGW;Edgewater Technology, Inc.;7.62;101610558.78;;;Technology;Computer Software: Programming, Data Processing;http://www.nasdaq.com/symbol/edgw
FLXS;Flexsteel Industries, Inc.;47.4;369537699.6;;;Consumer Durables;Home Furnishings;http://www.nasdaq.com/symbol/flxs
MRDN;Meridian Waste Solutions, Inc;3.16;21924433.919999998;;;Basic Industries;Miscellaneous;http://www.nasdaq.com/symbol/mrdn
GEOS;Geospace Technologies Corporation;15.09;202727600.94;;;Capital Goods;Industrial Machinery/Components;http://www.nasdaq.com/symbol/geos
OMAB;Grupo Aeroportuario del Centro Norte S.A.B. de C.V.;43.15;257889297.55;5976577;2006;Transportation;Aerospace;http://www.nasdaq.com/symbol/omab
SGQI;Janus SG Global Quality Income ETF;27.39;0.0;;;;;http://www.nasdaq.com/symbol/sgqi
PAGG;PowerShares Global Agriculture Portfolio;25.155;22639500.0;;;;;http://www.nasdaq.com/symbol/pagg
TRIL;Trillium Therapeutics Inc.;6.1;47855622.4;;;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/tril
ACLS;Axcelis Technologies, Inc.;16.3;487648061.70000005;;2000;Technology;Industrial Machinery/Components;http://www.nasdaq.com/symbol/acls
IART;Integra LifeSciences Holdings Corporation;42.74;3197643404.98;;;Capital Goods;Biotechnology: Laboratory Analytical Instruments;http://www.nasdaq.com/symbol/iart
SELB;Selecta Biosciences, Inc.;12.04;219009767.2;;2016;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/selb
SEV;Sevcon, Inc.;12.49;66721492.57;;;Energy;Industrial Machinery/Components;http://www.nasdaq.com/symbol/sev
VONV;Vanguard Russell 1000 Value ETF;99.67;996700000.0;;;;;http://www.nasdaq.com/symbol/vonv
UNFI;United Natural Foods, Inc.;42.69;2159799246.63;;1996;Consumer Non-Durables;Food Distributors;http://www.nasdaq.com/symbol/unfi
FMB;First Trust Managed Municipal ETF;51.67;105923603.33999999;;;;;http://www.nasdaq.com/symbol/fmb
SCMP;Sucampo Pharmaceuticals, Inc.;10.6;492446542.6;;2007;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/scmp
LBTYK;Liberty Global plc;34.44;30821791528.08;;;Consumer Services;Television Services;http://www.nasdaq.com/symbol/lbtyk
MNKD;MannKind Corporation;1.8900000000000001;181017104.94;;2004;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/mnkd
MDVXW;Medovex Corp.;0.1522;0.0;;2015;Health Care;Medical/Dental Instruments;http://www.nasdaq.com/symbol/mdvxw
MOXC;Moxian, Inc.;3.05;204371956.95;;;Technology;Computer Software: Programming, Data Processing;http://www.nasdaq.com/symbol/moxc
PBIP;Prudential Bancorp, Inc.;17.93;161656557.26;;;Finance;Banks;http://www.nasdaq.com/symbol/pbip
GFED;Guaranty Federal Bancshares, Inc.;20.25;88068708.0;;;Finance;Major Banks;http://www.nasdaq.com/symbol/gfed
IDSY;I.D. Systems, Inc.;6.3;86647050.0;;1999;Consumer Durables;Telecommunications Equipment;http://www.nasdaq.com/symbol/idsy
PBCTP;"People&#39;s United Financial, Inc.";26.26;0.0;;;Finance;Savings Institutions;http://www.nasdaq.com/symbol/pbctp
SRUNU;Silver Run Acquisition Corporation II;10.36;0.0;;;;;http://www.nasdaq.com/symbol/srunu
DUSA;Davis Select U.S. Equity ETF;20.06;0.0;;;;;http://www.nasdaq.com/symbol/dusa
DGAS;Delta Natural Gas Company, Inc.;30.31;216063986.32000002;;1981;Public Utilities;Oil & Gas Production;http://www.nasdaq.com/symbol/dgas
DSWL;Deswell Industries, Inc.;1.9100000000000001;30667416.49;;1995;Consumer Non-Durables;Plastic Products;http://www.nasdaq.com/symbol/dswl
STDY;SteadyMed Ltd.;4.25;85594260.50000001;;2015;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/stdy
VMBS;Vanguard Mortgage-Backed Securities ETF;52.37;3600499820.3;;;;;http://www.nasdaq.com/symbol/vmbs
LKFN;Lakeland Financial Corporation;41.96;1056584647.64;;;Finance;Major Banks;http://www.nasdaq.com/symbol/lkfn
MOCO;MOCON, Inc.;21.85;127926527.85000001;;;Capital Goods;Industrial Machinery/Components;http://www.nasdaq.com/symbol/moco
RPD;Rapid7, Inc.;14.45;616157739.3;;2015;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/rpd
