Symbol;Name;LastSale;MarketCap;ADR TSO;IPOyear;Sector;Industry;Summary Quote
GSUM;Gridsum Holding Inc.;12.34;95079700.0;7705000;2016;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/gsum
PTC;PTC Inc.;51.94;6010574086.72;;;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/ptc
CBIO;Catalyst Biosciences, Inc.;5.2;5200187.2;;;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/cbio
CMCT;CIM Commercial Trust Corporation;16.35;1374186124.35;;;Consumer Services;Real Estate Investment Trusts;http://www.nasdaq.com/symbol/cmct
ZNWAA;Zion Oil & Gas Inc;;0.0;;;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/znwaa
TGLS;Tecnoglass Inc.;10.86;360249483.84000003;;2012;Consumer Durables;Electronic Components;http://www.nasdaq.com/symbol/tgls
VECO;Veeco Instruments Inc.;28.75;1166378961.25;;1994;Technology;Industrial Machinery/Components;http://www.nasdaq.com/symbol/veco
AIMC;Altra Industrial Motion Corp.;37.4;1091142082.8;;2006;Capital Goods;Industrial Machinery/Components;http://www.nasdaq.com/symbol/aimc
JBLU;JetBlue Airways Corporation;19.94;6720502246.74;;2002;Transportation;Air Freight/Delivery Services;http://www.nasdaq.com/symbol/jblu
CORE;Core-Mark Holding Company, Inc.;30.84;1428365825.76;;;Consumer Non-Durables;Food Distributors;http://www.nasdaq.com/symbol/core
SMRT;Stein Mart, Inc.;2.71;127421332.82000001;;1992;Consumer Services;Clothing/Shoe/Accessory Stores;http://www.nasdaq.com/symbol/smrt
QNST;QuinStreet, Inc.;3.51;159422273.01;;2010;Miscellaneous;Business Services;http://www.nasdaq.com/symbol/qnst
WAFDW;Washington Federal, Inc.;16.6624;0.0;;;Finance;Major Banks;http://www.nasdaq.com/symbol/wafdw
ALSK;Alaska Communications Systems Group, Inc.;1.85;96111216.65;;1999;Public Utilities;Telecommunications Equipment;http://www.nasdaq.com/symbol/alsk
BWLD;Buffalo Wild Wings, Inc.;148.25;2578012647.5;;2003;Consumer Services;Restaurants;http://www.nasdaq.com/symbol/bwld
RTTR;Ritter Pharmaceuticals, Inc.;1.8099;21029584.6503;;2015;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/rttr
VIVE;Viveve Medical, Inc.;5.01;53610036.059999995;;;Health Care;Biotechnology: Electromedical & Electrotherapeutic Apparatus;http://www.nasdaq.com/symbol/vive
WVVI;Willamette Valley Vineyards, Inc.;7.97;39688886.449999996;;;Consumer Non-Durables;Beverages (Production/Distribution);http://www.nasdaq.com/symbol/wvvi
CERN;Cerner Corporation;57.77;19047895572.77;;1986;Technology;EDP Services;http://www.nasdaq.com/symbol/cern
ESXB;Community Bankers Trust Corporation.;8.1;177871690.8;;;Finance;Major Banks;http://www.nasdaq.com/symbol/esxb
ENZY;Enzymotec Ltd.;8.8;201914873.6;;2013;Consumer Durables;Specialty Chemicals;http://www.nasdaq.com/symbol/enzy
GFNCP;General Finance Corporation;94.1834;0.0;;;Technology;Diversified Commercial Services;http://www.nasdaq.com/symbol/gfncp
MSBF;MSB Financial Corp.;15.85;90807534.69999999;;;Finance;Savings Institutions;http://www.nasdaq.com/symbol/msbf
GLMD;Galmed Pharmaceuticals Ltd.;4.47;54307040.220000006;;2014;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/glmd
PAAS;Pan American Silver Corp.;17.48;2673871130.8799996;;;Basic Industries;Precious Metals;http://www.nasdaq.com/symbol/paas
PRCP;Perceptron, Inc.;8.02;75319565.34;;1992;Capital Goods;Electronic Components;http://www.nasdaq.com/symbol/prcp
ACGL;Arch Capital Group Ltd.;93.21;11460912756.54;;;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/acgl
DDBI;Legg Mason Developed EX-US Diversified Core ETF;25.88;0.0;;;;;http://www.nasdaq.com/symbol/ddbi
OPGN;OpGen, Inc.;1.07;23237365.479999997;;2015;Health Care;Medical Specialities;http://www.nasdaq.com/symbol/opgn
SHLM;A. Schulman, Inc.;30.8;907323863.5999999;;1972;Basic Industries;Major Chemicals;http://www.nasdaq.com/symbol/shlm
ABCB;Ameris Bancorp;44.5;1652342494.0;;1994;Finance;Major Banks;http://www.nasdaq.com/symbol/abcb
CSBR;Champions Oncology, Inc.;3.1599;34690494.484799996;;;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);http://www.nasdaq.com/symbol/csbr
EGT;Entertainment Gaming Asia Incorporated;1.67;24155247.4;;;Consumer Durables;Miscellaneous manufacturing industries;http://www.nasdaq.com/symbol/egt
WWD;Woodward, Inc.;66.73;4099880923.58;;;Energy;Industrial Machinery/Components;http://www.nasdaq.com/symbol/wwd
HBMD;Howard Bancorp, Inc.;17.8;173787060.4;;;Finance;Major Banks;http://www.nasdaq.com/symbol/hbmd
MNST;Monster Beverage Corporation;46.94;26597111960.420002;;;Consumer Non-Durables;Beverages (Production/Distribution);http://www.nasdaq.com/symbol/mnst
PETS;PetMed Express, Inc.;20.07;411958987.56;;;Health Care;Medical/Nursing Services;http://www.nasdaq.com/symbol/pets
TLND;Talend S.A.;28.57;255085816.50000003;8928450;2016;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/tlnd
MFSF;MutualFirst Financial Inc.;31.15;228772857.95;;;Finance;Major Banks;http://www.nasdaq.com/symbol/mfsf
AAL;American Airlines Group, Inc.;41.73;21038362986.81;;;Transportation;Air Freight/Delivery Services;http://www.nasdaq.com/symbol/aal
AMSWA;American Software, Inc.;10.16;299420066.64000005;;;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/amswa
JASNW;Jason Industries, Inc.;0.0473;0.0;;2013;Consumer Durables;Miscellaneous manufacturing industries;http://www.nasdaq.com/symbol/jasnw
MU;Micron Technology, Inc.;28.43;31351234981.78;;;Technology;Semiconductors;http://www.nasdaq.com/symbol/mu
ICBK;County Bancorp, Inc.;28.44;186570239.4;;2015;Finance;Major Banks;http://www.nasdaq.com/symbol/icbk
DTEA;DAVIDsTEA Inc.;7.6;190152068.4;;2015;Consumer Non-Durables;Food Chains;http://www.nasdaq.com/symbol/dtea
EXEL;Exelixis, Inc.;20.91;6082020877.83;;2000;Health Care;Biotechnology: Commercial Physical & Biological Resarch;http://www.nasdaq.com/symbol/exel
IMKTA;Ingles Markets, Incorporated;43.15;874209334.4000001;;1987;Consumer Services;Food Chains;http://www.nasdaq.com/symbol/imkta
MSDI;Monster Digital, Inc.;1.3;10171067.4;;2016;Technology;Electronic Components;http://www.nasdaq.com/symbol/msdi
LSTR;Landstar System, Inc.;83.6;3497808784.8;;1993;Transportation;Trucking Freight/Courier Services;http://www.nasdaq.com/symbol/lstr
SRVA;SIRVA, Inc.;;0.0;;;;;http://www.nasdaq.com/symbol/srva
WDFC;WD-40 Company;110.25;1556195508.0;;1973;Basic Industries;Major Chemicals;http://www.nasdaq.com/symbol/wdfc
QINC;First Trust RBA Quality Income ETF;23.1873;27824806.3746;;;;;http://www.nasdaq.com/symbol/qinc
MICTW;Micronet Enertec Technologies, Inc.;0.1625;0.0;;;Capital Goods;Electrical Products;http://www.nasdaq.com/symbol/mictw
IBUY;Amplify Online Retail ETF;28.8219;0.0;;;;;http://www.nasdaq.com/symbol/ibuy
BV;Bazaarvoice, Inc.;4.25;355506392.75;;2012;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/bv
BPMC;Blueprint Medicines Corporation;43.96;1459643531.9199998;;2015;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/bpmc
DNBF;DNB Financial Corp;33.8287;143072769.5997;;;Finance;Major Banks;http://www.nasdaq.com/symbol/dnbf
GOGL;Golden Ocean Group Limited;7.62;807454763.04;;;Consumer Services;Marine Transportation;http://www.nasdaq.com/symbol/gogl
MEDP;Medpace Holdings, Inc.;26.91;1095991072.02;;2016;Health Care;Biotechnology: Commercial Physical & Biological Resarch;http://www.nasdaq.com/symbol/medp
OTEL;Otelco Inc.;7.019;23490410.091000002;;;Public Utilities;Telecommunications Equipment;http://www.nasdaq.com/symbol/otel
PERF;Perfumania Holdings, Inc;1.15;17817827.450000003;;;Consumer Services;Other Specialty Stores;http://www.nasdaq.com/symbol/perf
MARA;Marathon Patent Group, Inc.;0.848;16368496.256000001;;;Miscellaneous;Multi-Sector Companies;http://www.nasdaq.com/symbol/mara
BOCH;Bank of Commerce Holdings (CA);10.6;143223649.0;;;Finance;Major Banks;http://www.nasdaq.com/symbol/boch
SNGX;Soligenix, Inc.;2.36;12829087.44;;;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/sngx
VRAY;ViewRay, Inc.;8.46;469444883.94;;;Health Care;Biotechnology: Electromedical & Electrotherapeutic Apparatus;http://www.nasdaq.com/symbol/vray
FCCY;1st Constitution Bancorp (NJ);18.35;147301725.7;;;Finance;Savings Institutions;http://www.nasdaq.com/symbol/fccy
SBGI;Sinclair Broadcast Group, Inc.;39.55;3572938457.2000003;;1995;Consumer Services;Broadcasting;http://www.nasdaq.com/symbol/sbgi
CDZI;Cadiz, Inc.;14.75;327080143.75;;;Public Utilities;Water Supply;http://www.nasdaq.com/symbol/cdzi
ZLTQ;ZELTIQ Aesthetics, Inc.;55.8;2251904864.4;;2011;Health Care;Biotechnology: Electromedical & Electrotherapeutic Apparatus;http://www.nasdaq.com/symbol/zltq
FNX;First Trust Mid Cap Core AlphaDEX Fund;57.47;724122114.94;;;;;http://www.nasdaq.com/symbol/fnx
IKNX;Ikonics Corporation;9.812;19808004.436;;;Miscellaneous;Industrial Machinery/Components;http://www.nasdaq.com/symbol/iknx
ENZL;iShares MSCI New Zealand Capped ETF;41.44;138824000.0;;;;;http://www.nasdaq.com/symbol/enzl
SBOT;Stellar Biotechnologies, Inc.;1.65;16724825.700000001;;;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/sbot
ALDX;Aldeyra Therapeutics, Inc.;5.05;76415999.05;;2014;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/aldx
ANDAR;Andina Acquisition Corp. II;0.5998;0.0;;2015;Finance;Business Services;http://www.nasdaq.com/symbol/andar
MITL;Mitel Networks Corporation;6.89;840840965.64;;;Technology;Radio And Television Broadcasting And Communications Equipment;http://www.nasdaq.com/symbol/mitl
QRHC;Quest Resource Holding Corporation.;2.15;32816142.3;;;Technology;Diversified Commercial Services;http://www.nasdaq.com/symbol/qrhc
TTWO;Take-Two Interactive Software, Inc.;58.12;5893960707.76;;1997;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/ttwo
AXAR;Axar Acquisition Corp.;9.9;84210498.9;;2014;Finance;Business Services;http://www.nasdaq.com/symbol/axar
VUSE;Vident Core US Equity ETF;29.0;440800000.00000006;;;;;http://www.nasdaq.com/symbol/vuse
WSTL;Westell Technologies, Inc.;0.61;37642705.33;;1995;Public Utilities;Telecommunications Equipment;http://www.nasdaq.com/symbol/wstl
BCOR;Blucora, Inc.;17.5;736499487.5;;;Technology;EDP Services;http://www.nasdaq.com/symbol/bcor
CERCZ;Cerecor Inc.;0.0898;0.0;;2015;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/cercz
LPCN;Lipocine Inc.;4.01;74565504.89;;;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/lpcn
ADMP;Adamis Pharmaceuticals Corporation;4.3;92814781.89999999;;;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/admp
DXTR;Dextera Surgical Inc.;1.05;9374221.5;;;Health Care;Medical/Dental Instruments;http://www.nasdaq.com/symbol/dxtr
HOMB;Home BancShares, Inc.;26.65;3822461307.6000004;;2006;Finance;Major Banks;http://www.nasdaq.com/symbol/homb
MOMO;Momo Inc.;33.33;2624723701.3799996;78749586;2014;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/momo
VSAR;Versartis, Inc.;21.1;739477457.5;;2014;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/vsar
MCRI;Monarch Casino & Resort, Inc.;28.85;504199938.84999996;;1993;Consumer Services;Hotels/Resorts;http://www.nasdaq.com/symbol/mcri
OLBK;Old Line Bancshares, Inc.;27.84;304578787.2;;;Finance;Major Banks;http://www.nasdaq.com/symbol/olbk
PPHM;Peregrine Pharmaceuticals Inc.;0.7057;210093578.6246;;;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/pphm
SGMS;Scientific Games Corp;21.65;1908035024.2;;;Technology;EDP Services;http://www.nasdaq.com/symbol/sgms
SMSI;Smith Micro Software, Inc.;0.88;10814473.120000001;;1995;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/smsi
ZBRA;Zebra Technologies Corporation;86.73;4586043632.31;;1991;Technology;Industrial Machinery/Components;http://www.nasdaq.com/symbol/zbra
TPIV;TapImmune Inc.;4.5600000000000005;38482596.96;;;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/tpiv
ARDM;Aradigm Corporation;1.71;25566362.19;;1996;Health Care;Biotechnology: Electromedical & Electrotherapeutic Apparatus;http://www.nasdaq.com/symbol/ardm
HCCI;Heritage-Crystal Clean, Inc.;13.45;302046219.6;;2008;Basic Industries;Miscellaneous;http://www.nasdaq.com/symbol/hcci
NGHCP;National General Holdings Corp;24.87;54714000.0;;;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/nghcp
OFS;OFS Capital Corporation;15.1;146474484.7;;;;;http://www.nasdaq.com/symbol/ofs
OHGI;One Horizon Group, Inc.;0.272;10000546.208;;;Public Utilities;Telecommunications Equipment;http://www.nasdaq.com/symbol/ohgi
GPOR;Gulfport Energy Corporation;16.23;2879685913.68;;;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/gpor
IPAS;iPass Inc.;1.17;76967987.85000001;;2003;Technology;EDP Services;http://www.nasdaq.com/symbol/ipas
MENT;Mentor Graphics Corporation;37.2;4110119822.3999996;;1984;Technology;EDP Services;http://www.nasdaq.com/symbol/ment
AMOT;Allied Motion Technologies, Inc.;20.15;188892366.65;;;Capital Goods;Electrical Products;http://www.nasdaq.com/symbol/amot
ARIS;ARI Network Services, Inc.;5.05;88517707.95;;1991;Technology;Computer Software: Programming, Data Processing;http://www.nasdaq.com/symbol/aris
CDOR;Condor Hospitality Trust, Inc.;10.3;69713098.6;;;Consumer Services;Real Estate Investment Trusts;http://www.nasdaq.com/symbol/cdor
CNXR;Connecture, Inc.;1.24;28004829.6;;2014;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/cnxr
EGLT;Egalet Corporation;4.78;120501194.89999999;;2014;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/eglt
QLC;FlexShares US Quality Large Cap Index Fund;28.867;24536978.867000002;;;;;http://www.nasdaq.com/symbol/qlc
LAWS;Lawson Products, Inc.;22.65;200058910.95;;;Consumer Durables;Industrial Specialties;http://www.nasdaq.com/symbol/laws
LMNR;Limoneira Co;19.25;274049622.0;;;Consumer Non-Durables;Farming/Seeds/Milling;http://www.nasdaq.com/symbol/lmnr
RMTI;Rockwell Medical, Inc.;6.05;311742651.55;;1998;Health Care;Biotechnology: Electromedical & Electrotherapeutic Apparatus;http://www.nasdaq.com/symbol/rmti
TPIC;TPI Composites, Inc.;16.46;555308764.98;;2016;Energy;Industrial Machinery/Components;http://www.nasdaq.com/symbol/tpic
MYOS;MYOS RENS Technology Inc.;2.98;17431140.48;;;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/myos
TRHC;Tabula Rasa HealthCare, Inc.;13.56;231510788.51999998;;2016;Miscellaneous;Business Services;http://www.nasdaq.com/symbol/trhc
CVBF;CVB Financial Corporation;21.3;2350624420.2;;;Finance;Major Banks;http://www.nasdaq.com/symbol/cvbf
CLRBZ;Cellectar Biosciences, Inc.;0.8;0.0;;;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/clrbz
PWOD;Penns Woods Bancorp, Inc.;43.75;207154150.0;;;Finance;Major Banks;http://www.nasdaq.com/symbol/pwod
ELGX;Endologix, Inc.;6.93;574672190.4;;;Health Care;Medical/Dental Instruments;http://www.nasdaq.com/symbol/elgx
BYBK;Bay Bancorp, Inc.;7.7;80511954.60000001;;;Finance;Major Banks;http://www.nasdaq.com/symbol/bybk
BNCL;Beneficial Bancorp, Inc.;16.15;1230574783.15;;;Finance;Savings Institutions;http://www.nasdaq.com/symbol/bncl
GILD;Gilead Sciences, Inc.;67.51;88240086419.00002;;1992;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);http://www.nasdaq.com/symbol/gild
INDB;Independent Bank Corp.;60.35;1631986872.6;;;Finance;Major Banks;http://www.nasdaq.com/symbol/indb
AKAO;Achaogen, Inc.;20.88;747119056.32;;2014;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/akao
EFII;Electronics for Imaging, Inc.;46.83;2174403863.31;;1992;Technology;Computer Communications Equipment;http://www.nasdaq.com/symbol/efii
RCII;Rent-A-Center Inc.;8.88;472387965.84;;1995;Technology;Diversified Commercial Services;http://www.nasdaq.com/symbol/rcii
TCBIL;Texas Capital Bancshares, Inc.;25.5;0.0;;;Finance;Major Banks;http://www.nasdaq.com/symbol/tcbil
CDTX;Cidara Therapeutics, Inc.;7.25;121808584.00000001;;2015;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);http://www.nasdaq.com/symbol/cdtx
GGAL;Grupo Financiero Galicia S.A.;39.01;1834292330.8;47021080;;Finance;Commercial Banks;http://www.nasdaq.com/symbol/ggal
BUSE;First Busey Corporation;28.88;1104130167.52;;;Finance;Major Banks;http://www.nasdaq.com/symbol/buse
DAX;Horizons DAX Germany ETF;27.05;16230000.0;;;;;http://www.nasdaq.com/symbol/dax
ITCI;Intra-Cellular Therapies Inc.;14.76;640735688.5200001;;;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/itci
NTNX;Nutanix, Inc.;19.5;2792681385.0;;2016;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/ntnx
LFVN;Lifevantage Corporation;4.87;68667413.95;;;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/lfvn
BIDU;Baidu, Inc.;168.26;46303805920.0;275192000;2005;Technology;Computer Software: Programming, Data Processing;http://www.nasdaq.com/symbol/bidu
DXJS;WisdomTree Japan Hedged SmallCap Equity Fund;37.84;113520000.0;;;;;http://www.nasdaq.com/symbol/dxjs
RFEU;First Trust RiverFront Dynamic Europe ETF;56.52;28260113.040000003;;;;;http://www.nasdaq.com/symbol/rfeu
MOGLC;Gabelli NextShares Trust;100.05;0.0;;;;;http://www.nasdaq.com/symbol/moglc
HRZN;Horizon Technology Finance Corporation;10.85;124921648.6;;2010;;;http://www.nasdaq.com/symbol/hrzn
MBCN;Middlefield Banc Corp.;43.9;122938833.1;;;Finance;Major Banks;http://www.nasdaq.com/symbol/mbcn
BMRA;Biomerica, Inc.;2.0;16918846.0;;;Health Care;Medical/Dental Instruments;http://www.nasdaq.com/symbol/bmra
GAINN;Gladstone Investment Corporation;25.5932;0.0;;;;;http://www.nasdaq.com/symbol/gainn
MGPI;MGP Ingredients, Inc.;53.95;901436630.9;;;Consumer Non-Durables;Beverages (Production/Distribution);http://www.nasdaq.com/symbol/mgpi
SFBS;ServisFirst Bancshares, Inc.;35.66;1881417891.36;;2014;Finance;Major Banks;http://www.nasdaq.com/symbol/sfbs
PRAN;Prana Biotechnology Ltd;2.27;14261422.55;6282565;;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/pran
MCBC;Macatawa Bank Corporation;9.69;328885702.77;;;Finance;Major Banks;http://www.nasdaq.com/symbol/mcbc
ACIU;AC Immune SA;11.02;627283106.84;;2016;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/aciu
ALRM;Alarm.com Holdings, Inc.;31.05;1435514094.9;;2015;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/alrm
CSII;Cardiovascular Systems, Inc.;28.1;916141546.2;;1981;Health Care;Medical/Dental Instruments;http://www.nasdaq.com/symbol/csii
BL;BlackLine, Inc.;28.85;1479525051.4;;2016;;;http://www.nasdaq.com/symbol/bl
MTBCP;Medical Transcription Billing, Corp.;25.4197;7490067.1232;;;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/mtbcp
MDLZ;Mondelez International, Inc.;43.8;66865613002.200005;;;Consumer Non-Durables;Packaged Foods;http://www.nasdaq.com/symbol/mdlz
PME;Pingtan Marine Enterprise Ltd.;4.34;343098930.02000004;;;;;http://www.nasdaq.com/symbol/pme
TESS;TESSCO Technologies Incorporated;15.0;124945290.00000001;;1994;Consumer Non-Durables;Electronic Components;http://www.nasdaq.com/symbol/tess
VOD;Vodafone Group Plc;26.88;11700655384.32;435292239;;Public Utilities;Telecommunications Equipment;http://www.nasdaq.com/symbol/vod
ACIW;ACI Worldwide, Inc.;21.88;2566650335.12;;;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/aciw
AMAG;AMAG Pharmaceuticals, Inc.;22.0;755467856.0;;;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/amag
ARLZ;Aralez Pharmaceuticals Inc.;2.19;143847184.74;;;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/arlz
FTXG;First Trust Nasdaq Food & Beverage ETF;20.65;5162541.3;;;;;http://www.nasdaq.com/symbol/ftxg
GLBZ;Glen Burnie Bancorp;11.6;32327518.0;;;Finance;Major Banks;http://www.nasdaq.com/symbol/glbz
PEGA;Pegasystems Inc.;41.85;3207513567.6;;1996;Technology;EDP Services;http://www.nasdaq.com/symbol/pega
PGTI;PGT Innovations, Inc.;10.45;515374657.05;;2006;Capital Goods;Building Products;http://www.nasdaq.com/symbol/pgti
PYPL;PayPal Holdings, Inc.;43.13;52083064882.42;;;Miscellaneous;Business Services;http://www.nasdaq.com/symbol/pypl
RUN;Sunrun Inc.;4.91;513778859.89000005;;2015;Capital Goods;Industrial Specialties;http://www.nasdaq.com/symbol/run
COGT;Cogint, Inc.;4.3;231306537.39999998;;;Consumer Services;Advertising;http://www.nasdaq.com/symbol/cogt
ELEC;Electrum Special Acquisition Corporation;9.9699;249247499.99999997;;2015;Finance;Business Services;http://www.nasdaq.com/symbol/elec
GSVC;GSV Capital Corp;4.46;98927273.38;;2011;;;http://www.nasdaq.com/symbol/gsvc
KRNY;Kearny Financial;14.95;1319194652.75;;;Finance;Savings Institutions;http://www.nasdaq.com/symbol/krny
KINS;Kingstone Companies, Inc;15.15;160913710.04999998;;;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/kins
LPNT;LifePoint Health, Inc.;62.05;2478522469.8;;;Health Care;Hospital/Nursing Management;http://www.nasdaq.com/symbol/lpnt
OTTW;Ottawa Bancorp, Inc.;12.9729;44982259.4058;;;Finance;Savings Institutions;http://www.nasdaq.com/symbol/ottw
CTHR;Charles & Colvard Ltd;0.98;20958413.28;;1997;Consumer Durables;Consumer Specialties;http://www.nasdaq.com/symbol/cthr
EFSC;Enterprise Financial Services Corporation;40.3;944753947.8;;;Finance;Major Banks;http://www.nasdaq.com/symbol/efsc
ZSAN;Zosano Pharma Corporation;1.73;33648974.02;;2015;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/zsan
KONE;Kingtone Wirelessinfo Solution Holding Ltd;3.3;2357437.5;714375;2010;Technology;EDP Services;http://www.nasdaq.com/symbol/kone
PEBO;Peoples Bancorp Inc.;30.87;563877871.83;;;Finance;Major Banks;http://www.nasdaq.com/symbol/pebo
SMCI;Super Micro Computer, Inc.;25.5;1231545348.0;;2007;Technology;Computer Manufacturing;http://www.nasdaq.com/symbol/smci
BOFIL;BofI Holding, Inc.;25.76;0.0;;;Finance;Savings Institutions;http://www.nasdaq.com/symbol/bofil
GOOD;Gladstone Commercial Corporation;19.88;515792444.72;;2003;Consumer Services;Real Estate;http://www.nasdaq.com/symbol/good
LNGR;Global X Longevity Thematic ETF;16.846;0.0;;;;;http://www.nasdaq.com/symbol/lngr
NAME;Rightside Group, Ltd.;9.56;187753667.8;;;Miscellaneous;Business Services;http://www.nasdaq.com/symbol/name
WINT;Windtree Therapeutics, Inc.;1.15;9747437.95;;;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);http://www.nasdaq.com/symbol/wint
WMGIZ;Wright Medical Group N.V.;1.5449000000000002;0.0;;;Health Care;Industrial Specialties;http://www.nasdaq.com/symbol/wmgiz
TTEK;Tetra Tech, Inc.;40.05;2295547972.65;;1991;Consumer Services;Military/Government/Technical;http://www.nasdaq.com/symbol/ttek
TCX;Tucows Inc.;49.05;513339985.35;;;Technology;EDP Services;http://www.nasdaq.com/symbol/tcx
SKYW;SkyWest, Inc.;35.5;1840523450.5;;1986;Transportation;Air Freight/Delivery Services;http://www.nasdaq.com/symbol/skyw
RDNT;RadNet, Inc.;5.8;273751856.8;;;Health Care;Medical Specialities;http://www.nasdaq.com/symbol/rdnt
MEOH;Methanex Corporation;44.5;3998006291.0000005;;;Basic Industries;Major Chemicals;http://www.nasdaq.com/symbol/meoh
MIND;Mitcham Industries, Inc.;4.3401;52470758.6958;;1994;Technology;Diversified Commercial Services;http://www.nasdaq.com/symbol/mind
FELE;Franklin Electric Co., Inc.;41.2;1912258654.0;;;Consumer Durables;Metal Fabrications;http://www.nasdaq.com/symbol/fele
BOKF;BOK Financial Corporation;75.45;4934748021.75;;;Finance;Major Banks;http://www.nasdaq.com/symbol/bokf
CXSE;WisdomTree China ex-State-Owned Enterprises Fund;56.976;8546400.0;;;;;http://www.nasdaq.com/symbol/cxse
BICK;First Trust BICK Index Fund;24.8593;8700804.7186;;;;;http://www.nasdaq.com/symbol/bick
NVDA;NVIDIA Corporation;107.47;63299830000.0;;1999;Technology;Semiconductors;http://www.nasdaq.com/symbol/nvda
CCN;CardConnect Corp.;13.5;393346570.5;;2015;Finance;Business Services;http://www.nasdaq.com/symbol/ccn
SYMC;Symantec Corporation;30.47;18855885782.91;;1989;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/symc
FSBK;First South Bancorp Inc;11.7;111152772.9;;;Finance;Major Banks;http://www.nasdaq.com/symbol/fsbk
LBRDK;Liberty Broadband Corporation;85.6;15561850506.4;;;Consumer Services;Television Services;http://www.nasdaq.com/symbol/lbrdk
MOBL;MobileIron, Inc.;4.4;392596569.2;;2014;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/mobl
FOLD;Amicus Therapeutics, Inc.;7.24;1033445100.6400001;;2007;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/fold
ASNA;Ascena Retail Group, Inc.;3.8;740765255.0;;;Consumer Services;Clothing/Shoe/Accessory Stores;http://www.nasdaq.com/symbol/asna
INTX;Intersections, Inc.;3.88;92319443.48;;2004;Technology;EDP Services;http://www.nasdaq.com/symbol/intx
MAMS;MAM Software Group, Inc.;6.3;77166167.4;;;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/mams
MXPT;MaxPoint Interactive, Inc.;6.14;40725938.46;;;Consumer Services;Advertising;http://www.nasdaq.com/symbol/mxpt
MSG;MSG Networks Inc.;196.48;4708183436.8;;2015;Consumer Services;Services-Misc. Amusement & Recreation;http://www.nasdaq.com/symbol/msg
SLM;SLM Corporation;11.69;5016191952.5199995;;;Finance;Finance: Consumer Services;http://www.nasdaq.com/symbol/slm
KBWP;PowerShares KBW Property & Casualty Insurance Portfolio;56.59;101862000.00000001;;;;;http://www.nasdaq.com/symbol/kbwp
PTGX;Protagonist Therapeutics, Inc.;13.22;221937227.79999998;;2016;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/ptgx
