gross_profit_per_market_cap,stock_symbol,Sector,is_SP500,is_profitable_3yr,is_revenue_growth_3yr,analyst_rating
0.1501677406713981,DOX,2,0,0,1,1
0.5453103295889237,HMHC,7,0,0,1,0
0.048160489307136435,SRNE,8,0,0,1,1
0.2288495574744436,OPK,8,0,0,1,0
0.2740820385989268,NUAN,2,0,0,1,1
0.7388973463169098,GT,0,0,1,1,0
0.10635800764340954,EA,2,0,1,1,0
0.5682904713907451,GPRO,2,0,0,0,0
0.0622939804429355,VRTX,8,0,0,1,1
0.22051710501556543,YY,2,0,1,1,1
0.0,FWONK,0,0,0,0,0
0.23340041563142028,HOMB,4,0,1,1,1
0.20545737233257427,NKTR,8,0,0,1,0
0.2563307837795696,CERN,2,0,1,1,1
0.15319093270819145,CDNS,2,0,1,1,1
0.4301886121983423,MDRX,2,0,0,1,0
0.22362926375209385,ISBC,4,0,1,1,1
0.2053938391459691,NTAP,2,0,0,1,0
1.4219757660264682,BBBY,0,0,0,1,0
0.09920853148800945,MAR,0,0,1,1,1
0.20911337731019647,VIAV,2,0,0,1,1
0.23278539127116696,SHOO,0,0,1,1,0
0.09452288650514598,CONE,9,0,0,1,1
0.1847656215515393,RUN,2,0,0,1,0
1.1157701441582848,HA,3,0,1,1,0
0.2887593423216297,PBCT,4,0,1,1,0
0.30722087079529603,UCBI,4,0,1,1,1
0.4348115639655075,LBTYA,6,0,0,0,1
0.21417193536727644,CBSH,4,0,1,1,0
0.2653345996312688,TSCO,0,0,1,1,1
0.3421659671517059,TRUE,2,0,0,1,0
0.31836237033197207,URBN,0,0,0,1,0
0.10135064794748475,CTRE,9,0,1,0,1
0.11787889608201026,MCHP,2,0,0,1,1
0.2512160118042886,KLIC,2,0,1,1,1
0.047576819090161045,TEAM,2,0,0,1,1
0.11249524817335278,PFPT,2,0,0,1,1
0.009060872163344131,PLUG,2,0,0,1,1
0.28607485367063346,HIMX,2,0,0,1,0
0.18543748020078318,FANG,1,0,0,1,1
0.24182119760250623,TROW,4,0,1,1,0
0.3018152433332101,ARLP,5,0,0,0,0
0.4053418831911101,BLMN,0,0,1,1,1
0.2184214671279909,PPC,7,0,0,1,0
0.13034107906488412,GNTX,0,0,1,1,0
0.0965927476605168,INTU,2,0,1,1,1
0.22891583469021287,PCAR,3,0,1,1,0
0.08332812133050825,HMSY,3,0,1,1,1
0.09797411272758433,XLNX,2,0,0,1,0
0.042374062303182226,FOLD,8,0,0,0,1
0.33144238992130803,JBHT,3,0,1,1,0
0.22297899910944072,EXPD,3,0,1,1,0
0.3535058731066543,PDLI,8,0,0,0,0
